Place of Discharge,Latitude,Longitude,Type
"Montgomery, NY",42.8941269,-74.4099745,warehouse
"Beloit, WI",42.5083272,-89.031784,warehouse
"Stockton, CA",37.9577016,-121.290779,warehouse
"Easton, PA",40.6916081,-75.2099866,warehouse
"Atlanta, GA",33.7544657,-84.3898151,warehouse
"Bayonne, NJ",40.6687141,-74.1143091,warehouse
"Jurupa Valley, CA",33.9798472,-117.4515754,warehouse
"Clackamas, OR",45.1608821,-122.2305038,warehouse
"Newville, PA",40.1730565,-77.3993258,warehouse
"Moorpark, CA",34.285558,-118.8820414,warehouse
"Baltimore, MD",39.2908816,-76.610759,warehouse
"Jamesburg, NJ",40.3526079,-74.4401513,warehouse
"Taunton, MA",41.9019257,-71.0931485,warehouse
"Menands, NY",42.6920233,-73.7245639,warehouse
"Kent, WA",47.3826903,-122.2270272,warehouse
"Downey, CA",33.9404441,-118.1292846,warehouse
"Wind Gap, PA",40.8481509,-75.2915694,warehouse
"Albany, NY",42.6511674,-73.754968,warehouse
"Fairfield, CA",38.2493581,-122.039966,warehouse
"Loma Linda, CA",34.0537971,-117.2610925,warehouse
"Gallatin, TN",36.3883031,-86.4475898,warehouse
"Burlington, NJ",39.9325409,-74.7226665,warehouse
"Langhorne, PA",40.1745538,-74.9226665,warehouse
"Northampton, PA",40.7451356,-75.3289302,warehouse
"Ogden, UT",41.2230048,-111.9738429,warehouse
"Rancho Cucamonga, CA",34.1033192,-117.575173,warehouse
"Rohnert Park, CA",38.3396367,-122.701098,warehouse
"Lakeland, FL",28.0394654,-81.9498042,warehouse
"Dinuba, CA",36.5432837,-119.3870656,warehouse
"Rogers, MN",45.1888596,-93.5524563,warehouse
"Monroe, NJ",40.8128777,-74.4423759,warehouse
"Pelham, AL",33.285669,-86.8099884,warehouse
"Fairview, NJ",40.3646325,-74.0788603,warehouse
"West Chicago, IL",41.8847507,-88.2039607,warehouse
"Livermore, CA",37.6820583,-121.768053,Geocoded
"Marietta, GA",33.9528472,-84.5496148,Geocoded
"North Las Vegas, NV",36.2005191,-115.1214745,Geocoded
,29.8249495,-95.4786754,Geocoded
"Dallas, TX",32.7762719,-96.7968559,Geocoded
"Salt Lak City, UT",40.7643327,-111.8885995,Geocoded
"Newark, NJ",40.735657,-74.1723667,Geocoded
"Philadelphia, PA",39.9527237,-75.1635262,Geocoded
"Bellevue, WA",47.6144219,-122.192337,Geocoded
"San Diego, CA",32.7174202,-117.162772,Geocoded
"Miramar, FL",25.9873137,-80.2322706,Geocoded
"Garner, NC",35.7112642,-78.6141709,Geocoded
"Raleigh, NC",35.7803977,-78.6390989,Geocoded
"Tacoma, WA",47.2455013,-122.438329,Geocoded
,29.8249495,-95.4786754,Geocoded
,29.8249495,-95.4786754,Geocoded
